SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
90284||22.49||||
90371||142.35||||
90375||294.44||||
90376||484.18||||
90377||260.77||||
90378||1774.27||||
90380||499.46||||
90381||499.46||||
90396||2187.03||||
90471||4.46||||
90472||4.46||||
90585||161.53||||
90587||108.47||||
90611||0.01||||
90619||170.69||||
90620||227.46||||
90621||193.97||||
90622||0.01||||
90623||234.46||||
90626||293.89||||
90627||293.89||||
90630||24.8||||
90632||74.72||||
90633||41.45||||
90636||129.16||||
90644||27.67||||
90647||33.42||||
90648||16.63||||
90649||164.72||||
90650||132.59||||
90651||291.25||||
90653||63.99||||
90654||20.36||||
90655||30.51||||
90656||24.23||||
90657||10.48||||
90658||22.7||||
90662||77.86||||
90670||262.45||||
90671||258.02||||
90673||45.07||||
90674||38.63||||
90675||329.2||||
90677||293.12||||
90678||299.46||||
90679||284.46||||
90682||77.86||||
90685||22.82||||
90686||26.81||||
90687||14.9||||
90688||25.34||||
90691||116.88||||
90694||81.82||||
90696||63.67||||
90697||150.81||||
90698||111.06||||
90700||31.52||||
90702||69.05||||
90707||94.7||||
90710||271.61||||
90713||46.35||||
90714||34.8||||
90715||42.77||||
90716||178.03||||
90717||167.01||||
90723||98.68||||
90732||137.93||||
90733||126.88||||
90734||152.46||||
90736||217.13||||
90738||272.54||||
90739||164.74||||
90740||156.58||||
90743||79.61||||
90744||35.23||||
90746||74.84||||
90747||145.21||||
90748||46.35||||
90750||202.36||||
90756||36.83||||
90759||78.28||||
91304||148.2||||
91318||65.55||||
91319||87.78||||
91320||131.1||||
91321||145.92||||
91322||145.92||||
