SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
90284||18.09||||
90371||148.23||||
90375||292.84||||
90376||457.03||||
90377||264.9||||
90378||1790.59||||
90380||524.21||||
90381||524.21||||
90396||2187.03||||
90471||4.46||||
90587||70.46||||
90589||279.46||||
90611||274.46||||
90619||170.69||||
90620||227.46||||
90621||193.97||||
90622||0.01||||
90623||234.46||||
90626||293.89||||
90627||293.89||||
90632||74.85||||
90633||41.63||||
90636||129.16||||
90644||27.67||||
90647||33.42||||
90648||16.59||||
90649||164.72||||
90650||132.59||||
90651||291.25||||
90653||87.95||||
90655||30.51||||
90656||26.81||||
90657||15.39||||
90658||26.32||||
90661||41.31||||
90662||87.95||||
90670||262.45||||
90671||258.02||||
90673||87.95||||
90674||38.63||||
90675||342.95||||
90677||302.5||||
90678||299.46||||
90679||284.46||||
90682||77.86||||
90683||290.0||||
90684||291.46||||
90685||22.82||||
90686||26.81||||
90687||14.9||||
90688||25.34||||
90691||135.13||||
90694||81.82||||
90696||63.17||||
90697||150.81||||
90698||113.08||||
90700||31.01||||
90702||69.05||||
90707||94.7||||
90710||271.61||||
90713||46.35||||
90714||32.28||||
90715||42.75||||
90716||178.03||||
90717||171.9||||
90723||98.68||||
90732||137.93||||
90733||126.88||||
90734||159.65||||
90736||217.13||||
90738||272.54||||
90739||172.76||||
90740||162.61||||
90743||79.61||||
90744||35.23||||
90746||74.84||||
90747||145.21||||
90748||46.35||||
90750||202.36||||
90756||36.83||||
90759||78.28||||
91304||161.54||||
91318||65.55||||
91319||87.78||||
91320||155.9||||
91321||147.06||||
91322||161.65||||
