SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A9513||279.48||||
A9542||3490.46||||
A9543||61774.82||||
A9590||324.85||||
A9592||929.46||||
A9595||551.96||||
A9596||968.2||||
A9602||498.87||||
A9604||16287.34||||
A9606||164.1||||
A9607||227.59||||
A9800||800.0||||
C9254||0.37||||
J0121||3.88||||
J0122||1.21||||
J0132||0.57||||
J0133||0.04||||
J0136||0.05||||
J0137||0.05||||
J0138||0.23||||
J0153||0.42||||
J0174||1.34||||
J0283||2.42||||
J0291||3.59||||
J0348||0.53||||
J0456||2.18||||
J0606||3.93||||
J0612||0.04||||
J0636||1.0||||
J0641||0.02||||
J0642||1.7||||
J0687||1.08||||
J0688||1.06||||
J0689||1.27||||
J0699||2.27||||
J0712||4.03||||
J0742||2.52||||
J0872||0.33||||
J0873||0.03||||
J0874||0.07||||
J0877||0.06||||
J0878||0.02||||
J0883||2.51||||
J0884||2.51||||
J0891||3.96||||
J0892||3.96||||
J0893||2.0||||
J0894||1.43||||
J1165||0.5||||
J1265||0.79||||
J1270||0.33||||
J1434||3.05||||
J1439||1.13||||
J1453||0.17||||
J1456||2.04||||
J1626||0.3||||
J1741||2.93||||
J1756||0.23||||
J1805||0.26||||
J1806||0.4||||
J1836||0.03||||
J1920||0.17||||
J1921||2.13||||
J1939||0.62||||
J1953||0.06||||
J2002||0.01||||
J2020||2.62||||
J2150||2.89||||
J2183||1.6||||
J2184||2.11||||
J2246||0.9||||
J2247||0.49||||
J2248||0.42||||
J2252||0.07||||
J2265||2.45||||
J2270||3.24||||
J2305||1.34||||
J2372||0.17||||
J2373||0.21||||
J2469||0.98||||
J2470||4.07||||
J2471||3.0||||
J2501||0.98||||
J2601||3.75||||
J2700||0.94||||
J2704||0.09||||
J2710||1.04||||
J2720||0.89||||
J2916||2.14||||
J3090||1.81||||
J3105||3.66||||
J3243||0.58||||
J3370||2.0||||
J7030||2.69||||
J7040||1.35||||
J7042||1.16||||
J7050||0.67||||
J7060||1.68||||
J7070||3.36||||
J7120||2.45||||
J7177||1.1||||
J7178||1.44||||
J7328||0.56||||
J7519||0.54||||
J9000||3.26||||
J9036||3.59||||
J9045||3.69||||
J9060||3.75||||
J9071||1.25||||
J9073||0.79||||
J9074||4.21||||
J9075||1.11||||
J9130||3.6||||
J9171||0.86||||
J9178||1.49||||
J9181||1.13||||
J9190||3.22||||
J9201||3.3||||
J9206||2.71||||
J9209||1.78||||
J9263||0.08||||
J9267||0.09||||
J9294||1.97||||
J9297||1.12||||
J9351||0.94||||
J9360||3.88||||
Q0138||0.33||||
Q0139||0.33||||
